,gr,data_type,condition
0,0.0918623111695354,expt,mixo
1,0.0983087134886655,expt,mixo
2,0.101207937398491,expt,mixo
3,0.01931,expt,hetero
4,0.022412,expt,hetero
5,0.027778,expt,hetero
6,0.0892792128929634,expt,auto
7,0.0813935540751774,expt,auto
8,0.0955200520983574,expt,auto
9,0.0847861031969866,prediction,auto
10,0.0847863471775363,prediction,auto
11,0.084784560262529,prediction,auto
12,0.0847836578118382,prediction,auto
13,0.0847836719285521,prediction,auto
14,0.0847852714313536,prediction,auto
15,0.0847852584047574,prediction,auto
16,0.0847853078870049,prediction,auto
17,0.0847900760724906,prediction,auto
18,0.0847771961671464,prediction,auto
19,0.0847770313836582,prediction,auto
20,0.0847518582522476,prediction,auto
21,0.0847519825713926,prediction,auto
22,0.0847055000763432,prediction,auto
23,0.0847056039739803,prediction,auto
24,0.0847070078395964,prediction,auto
25,0.084703369071852,prediction,auto
26,0.0847038044273551,prediction,auto
27,0.0847065658332192,prediction,auto
28,0.0847122942198513,prediction,auto
29,0.0847121932018404,prediction,auto
30,0.0847121747514358,prediction,auto
31,0.0847022930618825,prediction,auto
32,0.0847044945870872,prediction,auto
33,0.0847040721254412,prediction,auto
34,0.0847019932770443,prediction,auto
35,0.0847026059500072,prediction,auto
36,0.0847014086802128,prediction,auto
37,0.084699040592645,prediction,auto
38,0.0846988065524999,prediction,auto
39,0.0846989802802314,prediction,auto
40,0.0847011814256079,prediction,auto
41,0.084701566166228,prediction,auto
42,0.084701416328642,prediction,auto
43,0.0846950224019561,prediction,auto
44,0.0846949763738121,prediction,auto
45,0.0846886289781829,prediction,auto
46,0.0846991439709263,prediction,auto
47,0.0846994970727392,prediction,auto
48,0.0847002109154896,prediction,auto
49,0.084700942531829,prediction,auto
50,0.0847006769549864,prediction,auto
51,0.0846991628119605,prediction,auto
52,0.0847003226763591,prediction,auto
53,0.0847103238962026,prediction,auto
54,0.0847090945637063,prediction,auto
55,0.0847071611566379,prediction,auto
56,0.0847048170490023,prediction,auto
57,0.0846979380159735,prediction,auto
58,0.0846980495841355,prediction,auto
59,0.0846970819742064,prediction,auto
60,0.0846987968889399,prediction,auto
61,0.0846998805680473,prediction,auto
62,0.0846999903187438,prediction,auto
63,0.0847033084548033,prediction,auto
64,0.0847040634001642,prediction,auto
65,0.084704289012984,prediction,auto
66,0.0847049389412047,prediction,auto
67,0.084704339707435,prediction,auto
68,0.0847047465521761,prediction,auto
69,0.0847065264482168,prediction,auto
70,0.0847077209343672,prediction,auto
71,0.0847103750000947,prediction,auto
72,0.0847104923554815,prediction,auto
73,0.0847099023621757,prediction,auto
74,0.0847292644790066,prediction,auto
75,0.0846587330627665,prediction,auto
76,0.0846602823386046,prediction,auto
77,0.084664310185763,prediction,auto
78,0.0846610145657276,prediction,auto
79,0.0846585877653,prediction,auto
80,0.0846599190303148,prediction,auto
81,0.0846609810089563,prediction,auto
82,0.0846597837554873,prediction,auto
83,0.0846606133144816,prediction,auto
84,0.08465745708069,prediction,auto
85,0.0846551408999956,prediction,auto
86,0.0846434976314036,prediction,auto
87,0.0846401167055454,prediction,auto
88,0.0846433241815783,prediction,auto
89,0.0846443959182418,prediction,auto
90,0.0846461160406107,prediction,auto
91,0.0846495035216846,prediction,auto
92,0.0846497875252022,prediction,auto
93,0.0846481354294688,prediction,auto
94,0.0846481509492918,prediction,auto
95,0.0846494795967594,prediction,auto
96,0.0846514575733526,prediction,auto
97,0.0846519203270326,prediction,auto
98,0.0846517916040537,prediction,auto
99,0.0846527266242534,prediction,auto
100,0.0846537553560602,prediction,auto
101,0.0846523955507723,prediction,auto
102,0.0846550367961166,prediction,auto
103,0.0846588982587584,prediction,auto
104,0.0846607811965496,prediction,auto
105,0.0846617215480295,prediction,auto
106,0.0846599966218085,prediction,auto
107,0.0846620390615623,prediction,auto
108,0.0846655964079459,prediction,auto
109,0.0846652214533263,prediction,auto
110,0.084664344307254,prediction,auto
111,0.0846668479163972,prediction,auto
112,0.084668345408835,prediction,auto
113,0.0846281337936797,prediction,auto
114,0.0846266843399168,prediction,auto
115,0.0846274378183812,prediction,auto
116,0.0846275818114637,prediction,auto
117,0.0846258320991279,prediction,auto
118,0.0846036480106627,prediction,auto
119,0.0845930851598449,prediction,auto
120,0.0845956343813916,prediction,auto
121,0.0845941412921405,prediction,auto
122,0.0845951476068876,prediction,auto
123,0.084596379543134,prediction,auto
124,0.0845979249240672,prediction,auto
125,0.0846019734650966,prediction,auto
126,0.0846032384793864,prediction,auto
127,0.0846047020452572,prediction,auto
128,0.084602792655803,prediction,auto
129,0.0846030674987558,prediction,auto
130,0.0846039177936638,prediction,auto
131,0.0846035476575873,prediction,auto
132,0.0846033454030368,prediction,auto
133,0.0846059222879948,prediction,auto
134,0.0846138370975547,prediction,auto
135,0.0846136714042762,prediction,auto
136,0.0846160924240355,prediction,auto
137,0.0846118920525367,prediction,auto
138,0.084611857746236,prediction,auto
