,0
0,TARA_018DCM
1,TARA_023DCM
2,TARA_036DCM
3,TARA_041SRF
4,TARA_052SRF
5,TARA_066DCM
6,TARA_072SRF
7,TARA_076DCM
8,TARA_076SRF
9,TARA_078SRF
10,TARA_081DCM
11,TARA_085SRF
12,TARA_089SRF
13,TARA_102DCM
14,TARA_102SRF
15,TARA_109MES
16,TARA_122SRF
17,TARA_132SRF
18,TARA_135SRF
19,TARA_137DCM
20,TARA_143DCM
21,TARA_148SRF
22,TARA_150DCM
23,TARA_152MIX
24,TARA_152SRF
25,TARA_158SRF
26,TARA_173DCM
27,TARA_180DCM
28,TARA_194DCM
29,TARA_194SRF
30,TARA_201DCM
31,TARA_201SRF
32,TARA_205SRF
