,rxn,flux
0,EX_co2_e_auto,0.900511422143593
1,EX_co2_e_auto,0.9006365171944215
2,EX_co2_e_auto,0.9006373699889759
3,EX_co2_e_auto,0.9006373705651861
4,EX_co2_e_auto,0.9006374128043286
5,EX_co2_e_auto,0.9006374115171125
6,EX_co2_e_auto,0.9006373890025067
7,EX_co2_e_auto,0.9006373890684265
8,EX_co2_e_auto,0.9006373969752205
9,EX_co2_e_auto,0.9006374019201753
10,EX_co2_e_auto,0.900637421483475
11,EX_co2_e_auto,0.9006374588945307
12,EX_co2_e_auto,0.9006374676283323
13,EX_co2_e_auto,0.900637481093166
14,EX_co2_e_auto,0.9006375064627788
15,EX_co2_e_auto,0.9006374842269816
16,EX_co2_e_auto,0.9006375259061042
17,EX_co2_e_auto,0.9006375155738258
18,EX_co2_e_auto,0.9006374858406402
19,EX_co2_e_auto,0.9006374898558799
20,EX_co2_e_auto,0.9006374592211086
21,EX_co2_e_auto,0.9006374642941231
22,EX_co2_e_auto,0.9006374608437111
23,EX_co2_e_auto,0.900637455722237
24,EX_co2_e_auto,0.9006374594518411
25,EX_co2_e_auto,0.9006374617083861
26,EX_co2_e_auto,0.9006375799320631
27,EX_co2_e_auto,0.900637589489874
28,EX_co2_e_auto,0.9006375879515526
29,EX_co2_e_auto,0.9006375888854531
30,EX_co2_e_auto,0.9006375844173978
31,EX_co2_e_auto,0.9006375903544445
32,EX_co2_e_auto,0.9006375948665565
33,EX_co2_e_auto,0.900637606721483
34,EX_co2_e_auto,0.9006376099635027
35,EX_co2_e_auto,0.9006298899155674
36,EX_co2_e_auto,0.9006330965982646
37,EX_co2_e_auto,0.9006330637416565
38,EX_co2_e_auto,0.9006330684973677
39,EX_co2_e_auto,0.9006330652958106
40,EX_co2_e_auto,0.9006330664814632
41,EX_co2_e_auto,0.9006330153623079
42,EX_co2_e_auto,0.900633007929444
43,EX_co2_e_auto,0.9006330166438732
44,EX_co2_e_auto,0.9006330198196538
45,EX_co2_e_auto,0.9006330183674887
46,EX_co2_e_auto,0.9006731938935203
47,EX_co2_e_auto,0.9006736035285745
48,EX_co2_e_auto,0.9006980610100329
49,EX_co2_e_auto,0.900698191905456
50,EX_co2_e_auto,0.9006981933943929
51,EX_co2_e_auto,0.900698175470523
52,EX_co2_e_auto,0.9006981762882742
53,EX_co2_e_auto,0.9006981803543163
54,EX_co2_e_auto,0.9006981798344866
55,EX_co2_e_auto,0.9006981735686401
56,EX_co2_e_auto,0.900698205283128
57,EX_co2_e_auto,0.9006982005358777
58,EX_co2_e_auto,0.9006981492073274
59,EX_co2_e_auto,0.9006982965555641
60,EX_co2_e_auto,0.9006983061090584
61,EX_co2_e_auto,0.9006982917941984
62,EX_co2_e_auto,0.9006982858240887
63,EX_co2_e_auto,0.9006982937368653
64,EX_co2_e_auto,0.9006982994487686
65,EX_co2_e_auto,0.9006983250098382
66,EX_co2_e_auto,0.9006983131810601
67,EX_co2_e_auto,0.9006982770585912
68,EX_co2_e_auto,0.9006983125995836
69,EX_co2_e_auto,0.9006983113599178
70,EX_co2_e_auto,0.9006983115963855
71,EX_co2_e_auto,0.9006983979032351
72,EX_co2_e_auto,0.9006984010918213
73,EX_co2_e_auto,0.9006984116622229
74,EX_co2_e_auto,0.9006984032291196
75,EX_co2_e_auto,0.9006984327675874
76,EX_co2_e_auto,0.9006984319418087
77,EX_co2_e_auto,0.9006984226974961
78,EX_co2_e_auto,0.9006984342147011
79,EX_co2_e_auto,0.9006984332998526
80,EX_co2_e_auto,0.9006984230441573
81,EX_co2_e_auto,0.9006983662040177
82,EX_co2_e_auto,0.9006983709484044
83,EX_co2_e_auto,0.9006983282102325
84,EX_co2_e_auto,0.9006983725219994
85,EX_co2_e_auto,0.9006983798692129
86,EX_co2_e_auto,0.9006983786067884
87,EX_co2_e_auto,0.9006983842099947
88,EX_co2_e_auto,0.9006984028540703
89,EX_co2_e_auto,0.9006985342786261
90,EX_co2_e_auto,0.900698493911046
91,EX_co2_e_auto,0.9006984940122137
92,EX_co2_e_auto,0.9006984958413154
93,EX_co2_e_auto,0.9006984902046411
94,EX_co2_e_auto,0.9006942143522683
95,EX_co2_e_auto,0.9006939011767205
96,EX_co2_e_auto,0.900693898366023
97,EX_co2_e_auto,0.9006939103825188
98,EX_co2_e_auto,0.9006939586528182
99,EX_co2_e_auto,0.9006939683262268
100,EX_co2_e_auto,0.90069396235236
101,EX_co2_e_auto,0.9006939150500671
102,EX_co2_e_auto,0.9006939378788053
103,EX_co2_e_auto,0.9006939561430898
104,EX_co2_e_auto,0.9006939906379446
105,EX_co2_e_auto,0.900693994666018
106,EX_co2_e_auto,0.9006939987006495
107,EX_co2_e_auto,0.9006939927401872
108,EX_co2_e_auto,0.9006939679100954
109,EX_co2_e_auto,0.9006939713616058
110,EX_co2_e_auto,0.9006939732043476
111,EX_co2_e_auto,0.9006939771147285
112,EX_co2_e_auto,0.9006939405946863
113,EX_co2_e_auto,0.9006845523255457
114,EX_co2_e_auto,0.9006846347651926
115,EX_co2_e_auto,0.9006846344781547
116,EX_co2_e_auto,0.9006845660655262
117,EX_co2_e_auto,0.9006845628637341
118,EX_co2_e_auto,0.9006845675416528
119,EX_co2_e_auto,0.9006845758866199
120,EX_co2_e_auto,0.9006845864854225
121,EX_co2_e_auto,0.9006845956783682
122,EX_co2_e_auto,0.9006845989403909
123,EX_co2_e_auto,0.9006846514289222
124,EX_co2_e_auto,0.9006846487671758
125,EX_co2_e_auto,0.900684635816018
126,EX_co2_e_auto,0.9006845324367662
127,EX_co2_e_auto,0.9006846050058197
128,EX_co2_e_auto,0.9006846633681358
129,EX_co2_e_auto,0.900684630136972
130,EX_co2_e_auto,0.9006843758874093
131,EX_co2_e_auto,0.9006843686108555
132,EX_co2_e_auto,0.9006843720133749
133,EX_co2_e_auto,0.9006843622672567
134,EX_co2_e_auto,0.9006843264170759
135,EX_co2_e_auto,0.9006842970385349
136,EX_co2_e_auto,0.900684423058376
137,EX_co2_e_auto,0.9006844242340138
138,EX_co2_e_auto,0.9006844269360853
139,EX_co2_e_auto,0.9006844869048245
140,EX_co2_e_auto,0.900684494832804
141,EX_co2_e_auto,0.9006844910938342
142,EX_co2_e_auto,0.900684184697641
143,EX_co2_e_auto,0.9006847071340668
144,EX_co2_e_auto,0.9006846243055654
145,EX_co2_e_auto,0.9008577341169064
146,EX_co2_e_auto,0.9008582999772594
147,EX_co2_e_auto,0.9008583434944644
148,EX_co2_e_auto,0.9008583287306392
149,EX_co2_e_auto,0.9008583394090104
150,EX_co2_e_auto,0.9008583530134544
151,EX_co2_e_auto,0.9008583652067084
152,EX_co2_e_auto,0.9008583679652818
153,EX_co2_e_auto,0.900858825393608
154,EX_co2_e_auto,0.900858693667714
155,EX_co2_e_auto,0.90085868566039
156,EX_co2_e_auto,0.9008586952698284
157,EX_co2_e_auto,0.9008502685696282
158,EX_co2_e_auto,0.9008502563996268
159,EX_co2_e_auto,0.9008502702728364
160,EX_co2_e_auto,0.9008503119229548
161,EX_co2_e_auto,0.9008495622910416
162,EX_co2_e_auto,0.9008495646999346
163,EX_co2_e_auto,0.9008495669562032
164,EX_co2_e_auto,0.9008451629563016
165,EX_co2_e_auto,0.900844999268196
166,EX_co2_e_auto,0.9008449849971232
167,EX_co2_e_auto,0.9008449969180018
168,EX_co2_e_auto,0.9008450640628192
169,EX_co2_e_auto,0.90084508516564
170,EX_co2_e_auto,0.9008450741991502
171,EX_co2_e_auto,0.9008431030280613
172,EX_co2_e_auto,0.9008431301067498
173,EX_co2_e_auto,0.9008433556340566
174,EX_co2_e_auto,0.9008436134344744
175,EX_co2_e_auto,0.9008436463890552
176,EX_co2_e_auto,0.9008548681740643
