items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
PPBNGS,1,1,1,1
CPPPGO_1,1,1,0,0
PPPGO_1,1,1,0,0
PRAGSr,1,1,0,0
IG3PS,1,1,0,0
PRMICI,1,1,0,0
PSP,1,1,1,1
PSPPS,1,1,1,1
FBA3hi,1,1,0,0
SBP_1,1,1,0,0
AKGDbm,1,0,0,0
AKGDam,1,1,0,0
PSCIT,1,0,0,0
SS,1,1,0,0
DAPAT,1,1,1,1
DHPR,1,1,1,1
GLUTRS,1,1,0,0
GLUTRR_1,1,1,0,0
TMTG,1,1,1,1
PDS2,1,1,1,1
ZDS,1,1,1,1
FMETTRS,1,1,0,0
FORAMD,1,0,0,0
HEMEASM,1,1,1,1
MERGTROLR,1,0,0,0
PPM,1,1,1,1
PPMh,1,0,0,0
BETALDHx,1,1,0,0
SSALxm,1,1,0,0
ARGTRS,1,1,0,0
CYSTRS,1,1,0,0
GLYTLm,1,1,0,0
HISTRS,1,1,0,0
ILETRS,1,1,0,0
LEUTRS,1,1,0,0
LYSTRSm,1,1,0,0
METTRS,1,1,0,0
PHETRSm,1,1,0,0
PROTRS,1,1,0,0
THRTRS,1,1,0,0
THRTRSm,1,1,0,0
TRPTRS,1,1,0,0
TYRTRS,1,1,0,0
VALTRS,1,1,0,0
VALTLh,1,1,0,0
NADK,1,1,1,1
GALm,1,1,0,0
G3P_pi_thr,1,1,0,0
FUMm,1,1,0,0
GLYTA_1,1,1,0,0
BCTA_val,1,0,0,0
PGMm,1,0,0,0
PDX5POi,1,1,0,0
PYDXNO,1,1,1,1
PYAM5PO,1,1,1,1
PYDXO_1,1,1,0,0
PMANM,1,1,1,1
PHETA1,1,1,0,0
GLYTRS,1,1,0,0
NADHOR,1,1,1,1
FA160ACPHi_1,1,1,0,0
GLYCLm,1,1,0,0
FA180ACPHi,1,1,0,0
HGDH,1,1,1,1
THFATm,1,0,0,0
EAR181,1,1,1,1
EAR100x_1,1,1,0,0
EAR140x_1,1,1,0,0
EAR80x_1,1,1,0,0
3HAD40_1,1,1,0,0
3HAD181,1,1,1,1
3HAD120_1,1,1,0,0
3HAD100_1,1,1,0,0
3HAD60_1,1,1,0,0
3HAD140_1,1,1,0,0
3HAD80_1,1,1,0,0
3HAD160_1,1,1,0,0
ACOATA_1,1,1,0,0
ACCOAC,1,1,1,1
3HAD180_1,1,1,0,0
EAR180x_1,1,1,0,0
NADTRHD,1,0,0,0
CATp,1,1,0,0
GHMT2r,1,0,0,0
SERD_L,1,1,0,0
TPI,1,1,1,1
UMPK,1,1,1,1
RPIh,1,0,0,0
FUM,1,1,1,1
PGK,1,1,1,1
MTHFC,1,1,1,1
MTHFD,1,1,1,1
CBMK,1,1,1,1
DXS,1,1,0,0
FRTT,1,1,0,0
UDPSQS,1,1,1,1
SO3R,1,1,1,1
RPE,1,1,1,1
TKT1,1,0,0,0
TKT2,1,0,0,0
DHAD_3mob,1,1,0,0
DHADh,1,1,0,0
DHFS,1,1,1,1
NTRIRfx,1,1,0,0
ACOAT,1,1,1,1
PANTS,1,1,1,1
3OAR40_1,1,0,0,0
3OAR100_1,1,0,0,0
3OAR120_1,1,0,0,0
3OAR140_1,1,1,0,0
3OAR160_1,1,0,0,0
3OAR180_1,1,1,0,0
3OAR181,1,1,1,1
3OAR60_1,1,0,0,0
3OAR80_1,1,0,0,0
AGMTm,1,1,0,0
ANPRT,1,1,1,1
HOXG,1,1,1,1
CHLPAS,1,1,1,1
TRPS1,1,1,1,1
NPHS,1,1,1,1
PDHe2hr,1,0,0,0
THRD_L,1,1,0,0
SERTRS,1,1,0,0
ASNTRS,1,1,0,0
LYSTRS,1,1,0,0
GACT,1,1,1,1
DQDH,1,1,0,0
PKETX,1,0,0,0
PKETF,1,0,0,0
UPPDC1,1,1,0,0
NPDPS,1,1,1,1
CYSS,1,1,1,1
DHPS2,1,1,0,0
IMPHL_1,1,1,1,1
IMPHL_2,1,1,1,1
ARGSL,1,1,0,0
HMBDPO,1,1,1,1
MPQMT,1,1,0,0
TRPS2,1,1,1,1
ACN_a,1,1,1,1
ACN_b,1,1,1,1
EX_photon_e,1,0,0,1
PHOt_e,1,0,0,1
PHOt,1,0,0,1
PSII,1,1,1,1
CBFC,1,1,0,1
PSI,1,0,1,1
ATPS,1,1,1,1
GLCt1,1,1,0,0
GLCt,1,1,0,1
HEX1,1,1,0,0
PFK,1,1,1,1
PGKm,1,0,0,0
PGAM,1,1,1,1
PPTPt,1,1,0,1
TPTPt,1,1,1,1
PYRNAt,1,1,1,1
PGTPt,1,1,0,0
PGTPti,1,1,0,0
PYRt2m,1,0,0,0
PGL,1,1,1,1
6PGTt,1,1,0,1
EDD,1,1,1,1
EDA,1,1,1,1
Ru5PPi_th,1,1,0,0
Xu5PPi_th,1,1,0,0
RBPCh,1,1,0,0
ACKr,1,1,0,0
PYC,1,1,1,1
ICDHxm,1,1,0,0
ICL,1,1,1,1
ARGN,1,1,0,0
GLUDy,1,0,0,0
GDHm,1,1,0,0
G5SADrm,1,1,0,0
P5CDm,1,1,0,0
PROD2m,1,1,0,0
ORNCD,1,1,0,0
AGAS,1,1,1,1
AGPR,1,1,1,1
UREASE,1,1,1,1
G5SADs,1,1,0,0
GLU5K,1,1,0,0
PROAKGOX1,1,1,0,0
SERA,1,1,1,1
PSAT,1,1,1,1
ASPK,1,1,1,1
HSDH,1,1,1,1
HSK_1,1,1,0,0
THRS,1,1,1,1
THRS_1,1,1,0,0
DHPS,1,1,1,1
DAPDC,1,1,1,1
AASPh,1,1,0,0
PAPSR,1,1,1,1
HSAT,1,1,1,1
AHSERL2_1,1,1,0,0
CYSTS,1,1,0,0
CYSTGL,1,1,0,0
SHL,1,1,0,1
ASNS2,1,1,0,0
ASNN,1,1,0,0
ATPPRT,1,1,0,0
PRATPP,1,1,0,0
PRAMPC,1,1,0,0
IGPDH,1,1,1,1
HSTPT,1,0,0,0
HISTP,1,1,0,0
PPATDh,1,1,0,0
POXAAT,1,1,1,1
BCTAh,1,0,0,0
BCTA_glu,1,0,0,0
SKDH,1,0,0,0
SKK,1,1,0,0
PPHTA,1,1,1,1
ARODH,1,1,1,1
PHEH,1,1,1,1
HTHBDH,1,1,1,1
THBPOX,1,1,1,1
ATNS,1,1,0,0
PRAIi,1,1,0,0
IGPS,1,1,1,1
GTPCI,1,1,0,0
PTHPS,1,1,0,0
SPR,1,0,0,0
BACCLm,1,1,0,0
ACP1619ZD9DS,1,1,1,1
ACP1819ZD9DS,1,1,1,1
FA161ACPHi_1,1,1,0,0
FA181ACPHi,1,1,0,0
BACCL,1,1,1,1
FACOAL140,1,1,0,0
FACOAL161,1,1,0,0
FACOAL_162_9Z12Z,1,1,1,1
FACOAL_163_6Z9Z12Z,1,1,1,1
G3PD1ir,1,1,0,0
ETHAK,1,1,1,1
ETHAt,1,1,1,1
PETHMT,1,1,1,1
PETHDMT,1,1,1,1
PETHTMT,1,1,1,1
CHLPCTD,1,1,0,0
MI3PP,1,1,1,1
GALUi,1,1,0,0
G1PUT,1,1,1,1
UGP_PGM,1,1,1,1
FCYTOB5OXR,1,1,1,1
COA181_9Z_9DS,1,1,1,1
FACOAL205,1,1,1,1
FACOAL226,1,1,1,1
G3PAT140,1,1,1,1
G3PAT160_1,1,1,0,0
G3PAT1619Z,1,1,1,1
G3PAT180_1,1,1,0,0
G3PAT1819Z,1,1,1,1
G3PAT2055Z8Z11Z14Z17Z,1,1,1,1
G3PAT2264Z7Z10Z13Z16Z19Z,1,1,1,1
AGPATCOA_MYRS_MYRS,1,1,1,0
AGPATCOA_MYRS_PALM,1,1,1,0
AGPATCOA_MYRS_HDE,1,1,1,0
AGPATCOA_MYRS_STC,1,1,1,0
AGPATCOA_MYRS_OLE,1,1,1,0
AGPATCOA_MYRS_EPA,1,1,1,0
AGPATCOA_MYRS_DHA,1,1,1,0
AGPATCOA_PALM_MYRS,1,1,1,0
AGPATCOA_PALM_PALM,1,1,1,1
AGPATCOA_PALM_HDE,1,1,1,0
AGPATCOA_PALM_STC,1,1,1,0
AGPATCOA_PALM_OLE,1,1,1,0
AGPATCOA_PALM_EPA,1,1,1,0
AGPATCOA_PALM_DHA,1,1,1,0
AGPATCOA_HDE_MYRS,1,1,1,1
AGPATCOA_HDE_PALM,1,1,1,1
AGPATCOA_HDE_HDE,1,1,1,1
AGPATCOA_HDE_STC,1,1,1,1
AGPATCOA_HDE_OLE,1,1,1,1
AGPATCOA_HDE_EPA,1,1,1,1
AGPATCOA_HDE_DHA,1,1,1,1
AGPATCOA_STC_MYRS,1,1,1,0
AGPATCOA_STC_PALM,1,1,1,0
AGPATCOA_STC_HDE,1,1,1,0
AGPATCOA_STC_STC,1,1,1,0
AGPATCOA_STC_OLE,1,1,1,0
AGPATCOA_STC_EPA,1,1,1,0
AGPATCOA_STC_DHA,1,1,1,0
AGPATCOA_OLE_MYRS,1,1,1,1
AGPATCOA1819Z160,1,1,0,0
AGPATCOA_OLE_HDE,1,1,1,1
AGPATCOA_OLE_STC,1,1,1,1
AGPATCOA_OLE_OLE,1,1,1,1
AGPATCOA_OLE_EPA,1,1,1,1
AGPATCOA_OLE_DHA,1,1,1,1
AGPATCOA_EPA_MYRS,1,1,1,1
AGPATCOA_EPA_PALM,1,1,1,1
AGPATCOA_EPA_HDE,1,1,1,1
AGPATCOA_EPA_STC,1,1,1,1
AGPATCOA_EPA_OLE,1,1,1,1
AGPATCOA_EPA_EPA,1,1,1,1
AGPATCOA_EPA_DHA,1,1,1,1
AGPATCOA_DHA_MYRS,1,1,1,1
AGPATCOA_DHA_PALM,1,1,1,1
AGPATCOA_DHA_HDE,1,1,1,1
AGPATCOA_DHA_STC,1,1,1,1
AGPATCOA_DHA_OLE,1,1,1,1
AGPATCOA_DHA_EPA,1,1,1,1
AGPATCOA_DHA_DHA,1,1,1,1
PAPA140,1,1,0,0
PAPA_MYRS_PALM,1,1,1,1
PAPA_MYRS_HDE,1,1,1,1
PAPA_MYRS_STC,1,1,1,0
PAPA_MYRS_OLE,1,1,1,0
PAPA_MYRS_EPA,1,1,1,0
PAPA_MYRS_DHA,1,1,1,0
PAPA_PALM_MYRS,1,1,1,0
PAPA160,1,1,0,0
PAPA_PALM_HDE,1,1,1,0
PAPA_PALM_STC,1,1,1,0
PAPA1601819Z,1,1,0,0
PAPA_PALM_EPA,1,1,1,0
PAPA_PALM_DHA,1,1,1,0
PAPA_HDE_MYRS,1,1,1,0
PAPA_HDE_PALM,1,1,1,1
PAPA161,1,1,0,0
PAPA_HDE_STC,1,1,1,1
PAPA_HDE_OLE,1,1,1,1
PAPA_HDE_EPA,1,1,1,1
PAPA_HDE_DHA,1,1,1,1
PAPA_STC_MYRS,1,1,1,0
PAPA_STC_PALM,1,1,1,0
PAPA_STC_HDE,1,1,1,1
PAPA180,1,1,0,0
PAPA1801819Z,1,1,0,0
PAPA_STC_EPA,1,1,1,0
PAPA_STC_DHA,1,1,1,0
PAPA_OLE_MYRS,1,1,1,0
PAPA_OLE_PALM,1,1,1,1
PAPA_OLE_HDE,1,1,1,1
PAPA_OLE_STC,1,1,1,1
PAPA181_9,1,1,0,0
PAPA_OLE_EPA,1,1,1,1
PAPA_OLE_DHA,1,1,1,1
PAPA_EPA_MYRS,1,1,1,0
PAPA_EPA_PALM,1,1,1,1
PAPA_EPA_HDE,1,1,1,1
PAPA_EPA_STC,1,1,1,1
PAPA_EPA_OLE,1,1,1,1
PAPA_EPA_EPA,1,1,1,1
PAPA_EPA_DHA,1,1,1,1
PAPA_DHA_MYRS,1,1,1,0
PAPA_DHA_PALM,1,1,1,1
PAPA_DHA_HDE,1,1,1,1
PAPA_DHA_STC,1,1,1,1
PAPA_DHA_OLE,1,1,1,1
PAPA_DHA_EPA,1,1,1,1
PAPA_DHA_DHA,1,1,1,1
CHOPT_MYRS_MYRS,1,1,1,0
CHOPT_MYRS_PALM,1,1,1,0
CHOPT_MYRS_HDE,1,1,1,0
CHOPT_MYRS_STC,1,1,1,0
CHOPT_MYRS_OLE,1,1,1,0
CHOPT_MYRS_EPA,1,1,1,0
CHOPT_MYRS_DHA,1,1,1,0
CHOPT_PALM_MYRS,1,1,1,0
CHOPT_PALM_PALM,1,1,1,0
CHOPT_PALM_HDE,1,1,1,0
CHOPT_PALM_STC,1,1,1,0
CHOPT_PALM_OLE,1,1,1,0
CHOPT_PALM_EPA,1,1,1,0
CHOPT_PALM_DHA,1,1,1,0
CHOPT_HDE_MYRS,1,1,1,0
CHOPT_HDE_PALM,1,1,1,1
CHOPT_HDE_HDE,1,1,1,1
CHOPT_HDE_STC,1,1,1,1
CHOPT_HDE_OLE,1,1,1,1
CHOPT_HDE_EPA,1,1,1,1
CHOPT_HDE_DHA,1,1,1,1
CHOPT_STC_MYRS,1,1,1,0
CHOPT_STC_PALM,1,1,1,0
CHOPT_STC_HDE,1,1,1,0
CHOPT_STC_STC,1,1,1,0
CHOPT_STC_OLE,1,1,1,0
CHOPT_STC_EPA,1,1,1,0
CHOPT_STC_DHA,1,1,1,0
CHOPT_OLE_MYRS,1,1,1,0
CHOPT_OLE_PALM,1,1,1,0
CHOPT_OLE_HDE,1,1,1,0
CHOPT_OLE_STC,1,1,1,0
CHOPT_OLE_OLE,1,1,1,0
CHOPT_OLE_EPA,1,1,1,0
CHOPT_OLE_DHA,1,1,1,0
CHOPT_EPA_MYRS,1,1,1,0
CHOPT_EPA_PALM,1,1,1,1
CHOPT_EPA_HDE,1,1,1,1
CHOPT_EPA_STC,1,1,1,1
CHOPT_EPA_OLE,1,1,1,1
CHOPT_EPA_EPA,1,1,1,1
CHOPT_EPA_DHA,1,1,1,1
CHOPT_DHA_MYRS,1,1,1,0
CHOPT_DHA_PALM,1,1,1,0
CHOPT_DHA_HDE,1,1,1,0
CHOPT_DHA_STC,1,1,1,0
CHOPT_DHA_OLE,1,1,1,0
CHOPT_DHA_EPA,1,1,1,0
CHOPT_DHA_DHA,1,1,1,0
PCD12DS_MYRS_LNA_sn2,1,1,1,0
PCD12DS_PALM_LNA_sn2,1,1,1,0
PCD12DS_HDE_LNA_sn2,1,1,1,1
PCD12DS_STC_LNA_sn2,1,1,1,0
PCD12DS_LNA_MYRS_sn1,1,1,1,0
PCD12DS_LNA_PALM_sn1,1,1,1,0
PCD12DS_LNA_HDE_sn1,1,1,1,0
PCD12DS_LNA_STC_sn1,1,1,1,0
PCD12DS_LNA_OLE_sn1,1,1,1,0
PCD12DS_LNA_LNA_sn2,1,1,1,0
PCD12DS_OLE_LNA_sn2,1,1,1,0
PCD12DS_LNA_LNA_sn1,1,1,1,0
PCD12DS_LNA_EPA_sn1,1,1,1,0
PCD12DS_LNA_DHA_sn1,1,1,1,0
PCD12DS_EPA_LNA_sn2,1,1,1,1
PCD12DS_DHA_LNA_sn2,1,1,1,0
PCD6DS_MYRS_GLNA_sn2,1,1,1,0
PCD6DS_PALM_GLNA_sn2,1,1,1,0
PCD6DS_HDE_GLNA_sn2,1,1,1,1
PCD6DS_STC_GLNA_sn2,1,1,1,0
PCD6DS_LNA_GLNA_sn2,1,1,1,0
PCD6DS_OLE_GLNA_sn2,1,1,1,0
PCD6DS_EPA_GLNA_sn2,1,1,1,1
PCD6DS_DHA_GLNA_sn2,1,1,1,0
PCW3DS_MYRS_ALNA_sn2,1,1,1,0
PCW3DS_PALM_ALNA_sn2,1,1,1,0
PCW3DS_HDE_ALNA_sn2,1,1,1,1
PCW3DS_STC_ALNA_sn2,1,1,1,0
PCW3DS_LNA_ALNA_sn2,1,1,1,0
PCW3DS_OLE_ALNA_sn2,1,1,1,0
PCW3DS_EPA_ALNA_sn2,1,1,1,1
PCW3DS_DHA_ALNA_sn2,1,1,1,0
PCD6DS_MYRS_STA_sn2,1,1,1,0
PCD6DS_PALM_STA_sn2,1,1,1,0
PCD6DS_HDE_STA_sn2,1,1,1,1
PCD6DS_STC_STA_sn2,1,1,1,0
PCD6DS_LNA_STA_sn2,1,1,1,0
PCD6DS_OLE_STA_sn2,1,1,1,0
PCD6DS_EPA_STA_sn2,1,1,1,1
PCD6DS_DHA_STA_sn2,1,1,1,0
PCW3DS_MYRS_STA_sn2,1,1,1,0
PCW3DS_PALM_STA_sn2,1,1,1,0
PCW3DS_HDE_STA_sn2,1,1,1,1
PCW3DS_STC_STA_sn2,1,1,1,0
PCW3DS_LNA_STA_sn2,1,1,1,0
PCW3DS_OLE_STA_sn2,1,1,1,0
PCW3DS_EPA_STA_sn2,1,1,1,1
PCW3DS_DHA_STA_sn2,1,1,1,0
FA160h,1,1,0,0
FA18111Zh,1,1,0,0
FA1619Zh,1,1,0,0
FA180h,1,1,0,0
FAC140t,1,1,1,1
FAC2055Z8Z11Z14Z17Zt,1,1,1,1
FAC1636Z9Z12Zt,1,1,1,1
FAC1646Z9Z12Z15Zt,1,1,1,1
FACOAL184,1,1,0,0
FACOAL200,1,1,0,0
