items,iLB1027_lipid,iMK_draft17,iTps1432,Lavoie2020
PLDAGAT_MYRS_EPA_DHA_PC_3,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PC_4,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PC_5,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PC_6,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PC_7,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PC_8,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_9,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_10,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_11,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_12,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_13,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_14,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_15,1,1,1,0
PLDAGAT_MYRS_EPA_DHA_PE_16,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_1,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_2,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_3,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_4,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_5,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_6,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_7,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PC_8,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_9,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_10,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_11,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_12,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_13,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_14,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_15,1,1,1,0
PLDAGAT_MYRS_EPA_LNA_PE_16,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_1,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_2,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_3,1,1,1,1
PLDAGAT_OLE_EPA_DHA_PC_4,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_5,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_6,1,1,1,1
PLDAGAT_OLE_EPA_DHA_PC_7,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PC_8,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_9,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_10,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_11,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_12,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_13,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_14,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_15,1,1,1,0
PLDAGAT_OLE_EPA_DHA_PE_16,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PC_1,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PC_2,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PC_3,1,1,1,1
PLDAGAT_HDE_PALM_LNA_PC_4,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PC_5,1,1,1,1
PLDAGAT_HDE_PALM_LNA_PC_6,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PC_7,1,1,1,1
PLDAGAT_HDE_PALM_LNA_PC_8,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_9,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_10,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_11,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_12,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_13,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_14,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_15,1,1,1,0
PLDAGAT_HDE_PALM_LNA_PE_16,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_1,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_2,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_3,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_4,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_5,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_6,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_7,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PC_8,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_9,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_10,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_11,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_12,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_13,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_14,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_15,1,1,1,0
PLDAGAT_MYRS_EPA_ARA_PE_16,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_1,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_2,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_3,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_4,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_5,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_6,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_7,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PC_8,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_9,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_10,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_11,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_12,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_13,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_14,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_15,1,1,1,0
PLDAGAT_MYRS_EPA_MYRS_PE_16,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_1,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_2,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_3,1,1,1,1
PLDAGAT_OLE_PALM_HDE_PC_4,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_5,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_6,1,1,1,1
PLDAGAT_OLE_PALM_HDE_PC_7,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PC_8,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_9,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_10,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_11,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_12,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_13,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_14,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_15,1,1,1,0
PLDAGAT_OLE_PALM_HDE_PE_16,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_1,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_2,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_3,1,1,1,1
PLDAGAT_HDE_ARA_PALM_PC_4,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_5,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_6,1,1,1,1
PLDAGAT_HDE_ARA_PALM_PC_7,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PC_8,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_9,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_10,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_11,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_12,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_13,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_14,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_15,1,1,1,0
PLDAGAT_HDE_ARA_PALM_PE_16,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_1,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_2,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_3,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_4,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_5,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_6,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_7,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PC_8,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_9,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_10,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_11,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_12,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_13,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_14,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_15,1,1,1,0
PLDAGAT_HDE_MYRS_PALM_PE_16,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_1,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_2,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_3,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_4,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_5,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_6,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_7,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PC_8,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_9,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_10,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_11,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_12,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_13,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_14,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_15,1,1,1,0
PLDAGAT_PALM_PALM_PALM_PE_16,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_1,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_2,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_3,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_4,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_5,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_6,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_7,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PC_8,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_9,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_10,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_11,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_12,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_13,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_14,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_15,1,1,1,0
PLDAGAT_PALM_EPA_ARA_PE_16,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_1,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_2,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_3,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_4,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_5,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_6,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_7,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PC_8,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_9,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_10,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_11,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_12,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_13,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_14,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_15,1,1,1,0
PLDAGAT_PALM_EPA_GLNA_PE_16,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_1,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_2,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_3,1,1,1,1
PLDAGAT_HDE_HDE_GLNA_PC_4,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_5,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_6,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PC_7,1,1,1,1
PLDAGAT_HDE_HDE_GLNA_PC_8,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_9,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_10,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_11,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_12,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_13,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_14,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_15,1,1,1,0
PLDAGAT_HDE_HDE_GLNA_PE_16,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_1,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_2,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_3,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_4,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_5,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_6,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_7,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PC_8,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_9,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_10,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_11,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_12,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_13,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_14,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_15,1,1,1,0
PLDAGAT_PALM_EPA_DHA_PE_16,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_1,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_2,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_3,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_4,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_5,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_6,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_7,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PC_8,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_9,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_10,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_11,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_12,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_13,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_14,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_15,1,1,1,0
PLDAGAT_PALM_EPA_LNA_PE_16,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PC_1,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PC_2,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PC_3,1,1,1,1
PLDAGAT_HDE_HDE_LNA_PC_4,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PC_5,1,1,1,1
PLDAGAT_HDE_HDE_LNA_PC_6,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PC_7,1,1,1,1
PLDAGAT_HDE_HDE_LNA_PC_8,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_9,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_10,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_11,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_12,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_13,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_14,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_15,1,1,1,0
PLDAGAT_HDE_HDE_LNA_PE_16,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_1,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_2,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_3,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_4,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_5,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_6,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_7,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PC_8,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_9,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_10,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_11,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_12,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_13,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_14,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_15,1,1,1,0
PLDAGAT_MYRS_EPA_PALM_PE_16,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_1,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_2,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_3,1,1,1,1
PLDAGAT_OLE_HDE_HDE_PC_4,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_5,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_6,1,1,1,1
PLDAGAT_OLE_HDE_HDE_PC_7,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PC_8,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_9,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_10,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_11,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_12,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_13,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_14,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_15,1,1,1,0
PLDAGAT_OLE_HDE_HDE_PE_16,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_1,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_2,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_3,1,1,1,1
PLDAGAT_HDE_ARA_HDE_PC_4,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_5,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_6,1,1,1,1
PLDAGAT_HDE_ARA_HDE_PC_7,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PC_8,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_9,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_10,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_11,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_12,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_13,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_14,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_15,1,1,1,0
PLDAGAT_HDE_ARA_HDE_PE_16,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_1,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_2,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_3,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_4,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_5,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_6,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_7,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PC_8,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_9,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_10,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_11,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_12,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_13,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_14,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_15,1,1,1,0
PLDAGAT_PALM_HDE_PALM_PE_16,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_1,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_2,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_3,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_4,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_5,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_6,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_7,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PC_8,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_9,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_10,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_11,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_12,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_13,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_14,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_15,1,1,1,0
PLDAGAT_HDE_MYRS_HDE_PE_16,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_1,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_2,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_3,1,1,1,1
PLDAGAT_HDE_EPA_GLNA_PC_4,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_5,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_6,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PC_7,1,1,1,1
PLDAGAT_HDE_EPA_GLNA_PC_8,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_9,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_10,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_11,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_12,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_13,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_14,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_15,1,1,1,0
PLDAGAT_HDE_EPA_GLNA_PE_16,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_1,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_2,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_3,1,1,1,1
PLDAGAT_HDE_EPA_ARA_PC_4,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_5,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_6,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PC_7,1,1,1,1
PLDAGAT_HDE_EPA_ARA_PC_8,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_9,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_10,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_11,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_12,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_13,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_14,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_15,1,1,1,0
PLDAGAT_HDE_EPA_ARA_PE_16,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_1,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_2,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_3,1,1,1,1
PLDAGAT_HDE_EPA_DHA_PC_4,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_5,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_6,1,1,1,1
PLDAGAT_HDE_EPA_DHA_PC_7,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PC_8,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_9,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_10,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_11,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_12,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_13,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_14,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_15,1,1,1,0
PLDAGAT_HDE_EPA_DHA_PE_16,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PC_1,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PC_2,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PC_3,1,1,1,1
PLDAGAT_HDE_EPA_LNA_PC_4,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PC_5,1,1,1,1
PLDAGAT_HDE_EPA_LNA_PC_6,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PC_7,1,1,1,1
PLDAGAT_HDE_EPA_LNA_PC_8,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_9,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_10,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_11,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_12,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_13,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_14,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_15,1,1,1,0
PLDAGAT_HDE_EPA_LNA_PE_16,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_1,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_2,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_3,1,1,1,1
PLDAGAT_HDE_EPA_OLE_PC_4,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_5,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_6,1,1,1,1
PLDAGAT_HDE_EPA_OLE_PC_7,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PC_8,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_9,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_10,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_11,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_12,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_13,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_14,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_15,1,1,1,0
PLDAGAT_HDE_EPA_OLE_PE_16,1,1,1,0
PLDAGAT_MYRS_EPA_HDE_PC_1,1,1,1,0
PLDAGAT_MYRS_EPA_HDE_PC_2,1,1,1,0
PLDAGAT_MYRS_EPA_HDE_PC_3,1,1,1,0
