,parameter,n_all,n_consis,n_inconsis,n_consis_up,n_consis_down,p_consis,p_consis_up,p_consis_down,p_inconsis
0,CO2,52,27,25,15,12,51.92307692307693,28.846153846153843,23.076923076923077,48.07692307692307
1,N02NO3,69,32,37,14,18,46.3768115942029,20.28985507246377,26.08695652173913,53.6231884057971
2,HCO3,51,22,29,15,7,43.13725490196079,29.411764705882355,13.725490196078432,56.86274509803921
3,PO4,68,39,29,13,26,57.35294117647059,19.11764705882353,38.23529411764706,42.64705882352941
4,Si,68,36,32,12,24,52.94117647058824,17.647058823529413,35.294117647058826,47.05882352941176
5,NO2,69,36,33,13,23,52.17391304347826,18.84057971014493,33.33333333333333,47.82608695652174
